BFS,BFS,Winner
59,57,first
42,50,second
53,37,first
43,31,first
43,33,first
40,40,tie
38,38,tie
54,49,first
18,70,second
59,56,first
38,45,second
54,27,first
63,16,first
35,39,second
41,35,first
46,39,first
40,52,second
49,50,second
38,66,second
39,54,second
28,30,second
23,39,second
40,28,first
43,43,tie
42,47,second
31,53,second
74,18,first
40,36,first
59,32,first
68,36,first
58,43,first
66,48,first
17,88,second
25,71,second
27,42,second
36,62,second
43,28,first
30,45,second
41,39,first
59,61,second
51,34,first
38,35,first
61,24,first
36,39,second
48,45,first
44,45,second
45,42,first
40,36,first
66,35,first
48,42,first
43,37,first
25,37,second
32,60,second
49,35,first
18,52,second
73,58,first
31,49,second
21,31,second
64,55,first
55,64,second
53,35,first
61,40,first
85,29,first
40,56,second
34,67,second
54,49,first
31,47,second
53,23,first
52,46,first
42,34,first
40,56,second
41,32,first
48,36,first
61,43,first
61,50,first
53,19,first
63,57,first
31,75,second
33,30,first
36,36,tie
61,35,first
28,35,second
44,61,second
42,52,second
39,40,second
59,27,first
27,31,second
41,45,second
39,69,second
65,38,first
52,32,first
27,41,second
49,69,second
26,80,second
39,48,second
37,44,second
44,58,second
49,25,first
29,49,second
37,57,second
