DFS,BFS,Winner
17,65,second
8,29,second
18,44,second
20,59,second
29,76,second
1,32,second
7,71,second
39,56,second
5,87,second
8,70,second
2,66,second
4,63,second
33,91,second
9,79,second
10,89,second
0,63,second
7,80,second
2,52,second
0,71,second
39,58,second
7,42,second
5,103,second
4,49,second
0,53,second
2,73,second
4,79,second
41,78,second
2,34,second
6,80,second
2,92,second
2,59,second
11,63,second
11,67,second
7,78,second
9,73,second
6,62,second
1,89,second
20,66,second
7,71,second
13,61,second
2,83,second
26,44,second
13,54,second
4,66,second
42,34,first
0,45,second
24,48,second
9,66,second
3,80,second
26,56,second
27,61,second
16,89,second
45,51,second
3,60,second
6,81,second
5,57,second
26,61,second
39,52,second
40,36,first
33,47,second
15,66,second
4,79,second
35,65,second
7,68,second
45,40,first
31,44,second
3,44,second
21,55,second
42,30,first
7,105,second
7,75,second
3,55,second
35,24,first
13,77,second
24,57,second
13,47,second
26,77,second
19,75,second
3,88,second
5,67,second
6,65,second
10,64,second
9,80,second
29,42,second
5,39,second
8,55,second
0,73,second
5,98,second
16,78,second
12,54,second
12,59,second
19,86,second
5,83,second
0,76,second
13,83,second
7,41,second
54,59,second
64,47,first
1,40,second
3,63,second
