DFS,DQN,Winner
7,38,second
0,23,second
51,21,first
37,19,first
77,13,first
89,15,first
39,29,first
1,29,second
51,24,first
49,23,first
33,29,first
22,33,second
8,37,second
41,30,first
19,43,second
0,24,second
50,23,first
7,40,second
66,14,first
25,32,second
29,36,second
24,31,second
50,27,first
52,31,first
33,34,second
28,42,second
2,28,second
42,38,first
3,28,second
1,46,second
28,52,second
1,29,second
7,47,second
45,20,first
9,28,second
0,69,second
63,17,first
6,47,second
4,47,second
41,24,first
68,25,first
23,44,second
0,49,second
25,39,second
1,65,second
39,31,first
2,36,second
25,36,second
36,38,second
34,39,second
35,28,first
45,16,first
45,10,first
8,54,second
45,21,first
61,26,first
5,31,second
0,46,second
6,49,second
0,47,second
49,41,first
59,25,first
13,35,second
53,34,first
56,24,first
21,40,second
30,19,first
36,32,first
31,27,first
3,49,second
50,27,first
33,21,first
51,13,first
46,37,first
29,26,first
2,39,second
0,17,second
31,39,second
2,39,second
32,35,second
64,40,first
42,19,first
0,44,second
51,10,first
31,30,first
2,21,second
42,19,first
78,30,first
32,20,first
32,38,second
35,37,second
4,36,second
46,46,tie
10,35,second
41,26,first
53,28,first
25,32,second
57,23,first
42,37,first
3,28,second
