DQN,DFS,Winner
35,21,first
35,29,first
39,28,first
31,35,second
13,66,second
54,5,first
28,45,second
31,0,first
27,23,first
38,34,first
43,61,second
20,32,second
40,59,second
39,34,first
23,55,second
34,5,first
55,47,first
19,50,second
3,65,second
9,56,second
34,30,first
37,30,first
45,20,first
23,66,second
21,75,second
31,15,first
31,2,first
42,5,first
16,71,second
38,24,first
48,28,first
26,58,second
35,21,first
17,39,second
32,0,first
29,23,first
30,55,second
26,55,second
39,41,second
18,58,second
17,52,second
26,66,second
29,50,second
6,79,second
26,41,second
30,42,second
43,6,first
47,23,first
17,73,second
14,57,second
41,36,first
29,37,second
29,26,first
32,48,second
31,43,second
25,76,second
41,38,first
52,43,first
23,50,second
35,39,second
14,48,second
17,19,second
40,37,first
42,25,first
28,62,second
33,2,first
37,42,second
29,48,second
24,50,second
41,4,first
37,47,second
34,15,first
37,26,first
12,68,second
39,39,tie
28,36,second
49,4,first
38,33,first
34,31,first
24,13,first
28,0,first
19,45,second
24,54,second
26,31,second
28,35,second
43,26,first
46,6,first
48,11,first
37,17,first
28,48,second
41,3,first
18,25,second
31,1,first
50,0,first
30,30,tie
36,48,second
29,22,first
18,30,second
36,26,first
31,33,second
