GreedyChoosing,DFS,Winner
52,0,first
29,54,second
40,53,second
39,29,first
17,40,second
13,50,second
13,54,second
39,2,first
29,43,second
21,56,second
18,38,second
43,8,first
50,11,first
18,38,second
32,36,second
38,11,first
34,24,first
25,41,second
36,19,first
13,45,second
24,1,first
48,24,first
18,1,first
22,18,first
24,28,second
20,84,second
36,60,second
24,37,second
33,7,first
40,0,first
28,38,second
42,32,first
42,30,first
39,21,first
24,41,second
64,4,first
15,41,second
59,28,first
42,53,second
32,35,second
40,26,first
68,2,first
36,62,second
41,22,first
19,2,first
27,62,second
38,46,second
24,68,second
26,4,first
31,17,first
47,3,first
63,8,first
40,51,second
29,41,second
31,53,second
15,49,second
38,7,first
26,61,second
37,51,second
32,45,second
45,9,first
45,20,first
30,1,first
39,51,second
24,44,second
33,40,second
19,62,second
34,48,second
47,17,first
24,0,first
21,57,second
12,32,second
19,37,second
39,25,first
39,32,first
19,48,second
32,32,tie
12,68,second
42,8,first
9,63,second
40,19,first
29,44,second
44,49,second
25,45,second
14,67,second
20,51,second
29,1,first
25,75,second
29,42,second
33,0,first
23,0,first
26,34,second
37,2,first
36,37,second
26,47,second
36,53,second
38,38,tie
46,3,first
22,45,second
25,69,second
