GreedyChoosing,GreedyChoosing,Winner
9,42,second
21,13,first
24,15,first
27,40,second
40,14,first
13,17,second
24,19,first
20,29,second
17,15,first
34,30,first
11,11,tie
7,13,second
16,20,second
24,21,first
31,28,first
11,27,second
15,28,second
22,12,first
8,44,second
23,41,second
13,31,second
33,26,first
19,34,second
25,22,first
16,25,second
13,18,second
13,22,second
22,17,first
18,33,second
31,8,first
21,27,second
21,26,second
33,18,first
23,35,second
16,15,first
20,32,second
29,27,first
29,20,first
29,13,first
18,24,second
22,15,first
12,36,second
6,28,second
16,17,second
14,9,first
32,25,first
16,15,first
24,26,second
28,10,first
20,16,first
18,30,second
22,11,first
12,19,second
37,25,first
31,14,first
25,13,first
32,22,first
21,21,tie
23,23,tie
9,12,second
20,9,first
26,32,second
29,2,first
29,22,first
15,40,second
14,15,second
20,21,second
28,23,first
12,13,second
13,18,second
30,32,second
38,13,first
39,21,first
34,20,first
32,19,first
27,47,second
27,16,first
29,9,first
20,16,first
21,33,second
29,17,first
26,13,first
5,28,second
20,30,second
23,12,first
16,24,second
27,25,first
27,11,first
21,35,second
22,33,second
27,35,second
20,32,second
21,23,second
23,28,second
24,24,tie
16,27,second
26,20,first
43,25,first
26,15,first
26,17,first
