BFS,DFS,Winner
33,102,second
156,47,first
79,97,second
132,71,first
106,85,first
108,132,second
174,8,first
145,1,first
63,81,second
157,3,first
99,4,first
194,47,first
94,83,first
179,5,first
99,83,first
125,0,first
90,40,first
100,50,first
151,8,first
73,12,first
138,56,first
167,4,first
155,6,first
149,76,first
97,86,first
146,46,first
157,20,first
187,56,first
145,1,first
94,79,first
92,5,first
146,54,first
180,3,first
151,58,first
65,38,first
141,4,first
103,81,first
141,96,first
153,7,first
159,8,first
127,108,first
159,6,first
161,28,first
107,61,first
177,64,first
142,8,first
138,71,first
122,4,first
156,6,first
184,2,first
181,7,first
88,19,first
85,0,first
160,4,first
122,91,first
148,4,first
122,61,first
142,13,first
152,11,first
79,73,first
174,10,first
48,65,second
159,5,first
156,45,first
37,124,second
176,3,first
153,103,first
70,112,second
149,6,first
158,12,first
132,25,first
112,69,first
104,55,first
107,8,first
118,62,first
88,1,first
119,9,first
109,5,first
136,62,first
170,0,first
111,5,first
151,7,first
162,9,first
128,75,first
111,88,first
125,65,first
102,65,first
214,5,first
151,9,first
126,4,first
46,145,second
113,102,first
146,1,first
103,0,first
113,7,first
149,3,first
139,12,first
94,80,first
121,8,first
186,3,first
