DFS,GreedyChoosing,Winner
72,52,first
95,42,first
0,53,second
113,70,first
80,46,first
102,45,first
158,30,first
79,76,first
70,81,second
108,54,first
98,62,first
81,42,first
89,32,first
61,52,first
89,55,first
98,61,first
85,44,first
98,58,first
95,82,first
86,65,first
72,50,first
143,20,first
69,44,first
91,77,first
128,41,first
55,54,first
49,42,first
2,65,second
0,29,second
46,53,second
99,63,first
2,61,second
104,49,first
144,43,first
67,74,second
115,50,first
121,15,first
91,63,first
121,71,first
92,51,first
116,15,first
2,53,second
131,54,first
70,47,first
86,34,first
87,71,first
91,50,first
57,37,first
67,51,first
79,45,first
89,60,first
119,77,first
98,43,first
131,54,first
91,55,first
3,99,second
93,58,first
89,51,first
70,31,first
22,40,second
149,21,first
117,44,first
56,34,first
78,84,second
55,59,second
119,43,first
131,36,first
2,62,second
61,60,first
132,27,first
56,68,second
115,43,first
122,40,first
82,56,first
57,57,tie
109,49,first
112,60,first
78,56,first
75,53,first
147,41,first
103,47,first
71,36,first
83,31,first
97,58,first
141,44,first
2,45,second
154,70,first
75,41,first
98,52,first
123,51,first
111,14,first
87,34,first
72,50,first
0,77,second
126,38,first
131,47,first
130,39,first
1,51,second
117,49,first
180,29,first
