DQN,DQN,Winner
78,9,first
27,20,first
43,29,first
37,27,first
28,41,second
67,15,first
24,38,second
34,27,first
56,19,first
34,36,second
14,22,second
51,44,first
17,37,second
41,34,first
32,25,first
26,17,first
19,49,second
22,20,first
33,54,second
34,30,first
31,31,tie
59,17,first
34,21,first
18,51,second
18,31,second
28,35,second
21,42,second
17,39,second
50,15,first
16,64,second
9,91,second
31,61,second
33,26,first
21,30,second
35,17,first
25,29,second
30,32,second
28,32,second
17,39,second
28,21,first
14,46,second
30,44,second
14,42,second
30,12,first
25,21,first
22,28,second
8,10,second
20,34,second
16,51,second
29,24,first
29,9,first
23,23,tie
25,26,second
14,41,second
20,25,second
15,12,first
30,40,second
61,12,first
44,36,first
15,18,second
23,25,second
44,14,first
51,29,first
24,49,second
32,17,first
20,20,tie
26,32,second
8,62,second
11,59,second
30,6,first
21,58,second
23,13,first
27,54,second
13,35,second
11,16,second
36,26,first
33,32,first
41,29,first
33,13,first
27,18,first
22,35,second
22,31,second
42,37,first
23,33,second
26,32,second
42,13,first
33,14,first
26,8,first
68,7,first
14,47,second
31,28,first
21,31,second
36,51,second
52,7,first
39,11,first
34,34,tie
30,23,first
26,22,first
32,19,first
33,46,second
