GreedyChoosing,BFS,Winner
13,134,second
39,61,second
43,152,second
43,135,second
37,84,second
16,132,second
44,150,second
33,138,second
26,131,second
15,143,second
57,70,second
26,92,second
40,77,second
43,41,first
35,116,second
46,49,second
39,86,second
50,91,second
37,196,second
43,150,second
46,110,second
28,133,second
20,148,second
19,96,second
21,69,second
29,128,second
32,141,second
25,152,second
49,125,second
54,157,second
48,94,second
31,125,second
29,158,second
34,148,second
44,178,second
13,141,second
41,118,second
30,86,second
19,99,second
40,75,second
28,152,second
39,115,second
34,42,second
29,113,second
39,111,second
23,148,second
48,61,second
51,93,second
52,131,second
17,100,second
54,78,second
47,141,second
38,117,second
27,121,second
39,105,second
50,72,second
28,103,second
58,116,second
19,177,second
14,145,second
40,149,second
43,93,second
48,77,second
32,206,second
37,141,second
39,93,second
55,87,second
38,111,second
42,59,second
25,61,second
35,162,second
34,101,second
30,181,second
35,169,second
23,87,second
31,118,second
44,88,second
32,75,second
21,90,second
24,85,second
41,143,second
44,108,second
31,173,second
21,161,second
49,124,second
32,34,second
24,82,second
31,107,second
34,133,second
41,126,second
43,115,second
31,83,second
20,168,second
42,113,second
49,117,second
42,137,second
56,129,second
30,94,second
45,151,second
40,83,second
