BFS,DQN,Winner
16,10,first
25,8,first
26,4,first
35,6,first
27,1,first
21,13,first
21,8,first
22,9,first
37,6,first
7,19,second
23,12,first
27,9,first
33,12,first
24,8,first
30,9,first
34,12,first
35,8,first
31,20,first
29,9,first
24,19,first
31,4,first
21,11,first
25,6,first
35,8,first
27,13,first
29,9,first
13,4,first
29,10,first
21,11,first
18,15,first
15,13,first
33,0,first
25,13,first
14,11,first
31,3,first
33,3,first
27,4,first
18,19,second
27,7,first
23,12,first
24,6,first
29,9,first
23,10,first
19,10,first
35,7,first
14,21,second
29,7,first
30,8,first
18,4,first
32,7,first
29,7,first
15,11,first
23,8,first
32,4,first
19,13,first
23,10,first
26,6,first
28,6,first
20,4,first
27,8,first
21,9,first
35,3,first
26,8,first
11,13,second
25,8,first
17,6,first
21,12,first
36,6,first
33,7,first
15,12,first
34,2,first
16,7,first
35,8,first
14,8,first
25,4,first
31,8,first
18,7,first
18,10,first
34,4,first
29,8,first
28,7,first
26,14,first
29,9,first
20,9,first
18,10,first
24,10,first
25,10,first
18,15,first
19,8,first
24,8,first
7,7,tie
23,8,first
26,14,first
28,7,first
15,10,first
15,10,first
20,9,first
21,11,first
15,5,first
19,8,first
