BFS,GreedyChoosing,Winner
28,16,first
28,15,first
14,13,first
24,5,first
16,13,first
28,1,first
23,4,first
23,19,first
9,10,second
21,7,first
15,13,first
17,14,first
26,4,first
17,13,first
10,9,first
22,9,first
27,8,first
20,17,first
25,10,first
16,9,first
25,6,first
14,24,second
26,11,first
24,16,first
13,13,tie
20,4,first
37,3,first
17,13,first
16,27,second
19,15,first
24,10,first
14,26,second
11,12,second
19,10,first
30,16,first
28,14,first
12,11,first
15,19,second
19,17,first
31,12,first
24,16,first
27,7,first
11,9,first
15,14,first
14,10,first
18,11,first
11,23,second
15,18,second
12,23,second
18,17,first
19,9,first
16,12,first
28,13,first
21,13,first
11,13,second
21,9,first
27,16,first
17,9,first
26,9,first
32,13,first
7,29,second
28,6,first
20,12,first
22,10,first
19,13,first
20,14,first
23,7,first
14,7,first
19,14,first
19,8,first
12,14,second
27,12,first
24,13,first
30,11,first
16,9,first
25,10,first
8,18,second
16,19,second
18,11,first
38,5,first
22,8,first
17,12,first
32,6,first
20,12,first
24,8,first
22,15,first
32,12,first
27,11,first
28,13,first
22,5,first
29,6,first
23,24,second
31,4,first
15,19,second
19,14,first
14,10,first
14,12,first
25,9,first
17,25,second
33,7,first
