DQN,BFS,Winner
10,28,second
3,31,second
3,34,second
9,13,second
11,20,second
10,26,second
9,27,second
5,29,second
10,11,second
9,18,second
9,30,second
18,10,first
2,35,second
7,19,second
7,15,second
18,21,second
9,15,second
9,26,second
9,33,second
14,21,second
13,28,second
12,29,second
4,26,second
2,31,second
13,21,second
17,24,second
0,34,second
13,30,second
11,16,second
6,20,second
4,28,second
7,33,second
7,32,second
9,22,second
7,21,second
4,32,second
4,34,second
3,28,second
8,27,second
9,16,second
12,24,second
11,29,second
15,12,first
7,33,second
8,19,second
10,15,second
7,32,second
4,21,second
9,21,second
7,18,second
12,20,second
13,14,second
3,28,second
6,34,second
11,21,second
6,22,second
4,28,second
10,35,second
3,22,second
5,21,second
13,35,second
6,26,second
10,11,second
7,17,second
4,30,second
6,17,second
13,21,second
7,21,second
4,23,second
7,29,second
9,12,second
7,13,second
11,20,second
10,12,second
10,23,second
6,13,second
9,21,second
6,35,second
11,19,second
4,26,second
6,27,second
4,22,second
8,32,second
13,25,second
7,33,second
11,15,second
6,24,second
12,26,second
9,18,second
0,33,second
8,23,second
8,13,second
4,13,second
10,21,second
4,13,second
6,19,second
2,35,second
11,24,second
7,24,second
4,32,second
