GreedyChoosing,DQN,Winner
12,10,first
14,6,first
17,9,first
11,5,first
20,7,first
9,8,first
11,18,second
15,4,first
26,4,first
35,12,first
14,19,second
11,2,first
19,10,first
14,15,second
19,7,first
11,5,first
14,11,first
13,12,first
15,10,first
11,10,first
22,11,first
12,7,first
20,15,first
24,14,first
24,6,first
22,7,first
4,5,second
17,9,first
18,6,first
24,5,first
16,6,first
23,8,first
17,9,first
12,10,first
13,8,first
8,23,second
15,11,first
15,8,first
5,13,second
16,7,first
11,14,second
23,8,first
12,15,second
23,10,first
7,17,second
15,6,first
4,21,second
20,8,first
14,8,first
14,8,first
14,18,second
4,21,second
16,7,first
17,12,first
25,15,first
18,7,first
20,7,first
21,12,first
28,1,first
7,8,second
28,6,first
15,4,first
14,11,first
14,6,first
32,8,first
29,4,first
17,11,first
11,3,first
15,12,first
32,9,first
15,7,first
5,3,first
19,2,first
15,12,first
25,12,first
9,6,first
22,11,first
23,7,first
17,8,first
8,4,first
13,18,second
21,19,first
11,12,second
9,18,second
24,14,first
18,9,first
28,4,first
17,14,first
23,11,first
17,12,first
9,9,tie
9,3,first
28,8,first
22,11,first
13,11,first
14,12,first
16,16,tie
13,12,first
5,23,second
10,5,first
