GreedyChoosing,DQN,Winner
8,1,first
8,0,first
13,1,first
19,0,first
3,1,first
17,0,first
5,0,first
7,1,first
5,0,first
20,2,first
22,1,first
20,2,first
13,1,first
27,1,first
2,0,first
24,0,first
19,1,first
7,0,first
6,2,first
23,1,first
20,0,first
15,1,first
27,2,first
14,1,first
3,2,first
6,0,first
32,1,first
15,3,first
5,0,first
20,1,first
5,0,first
18,1,first
7,2,first
31,2,first
18,2,first
22,0,first
33,3,first
36,2,first
14,1,first
23,3,first
3,1,first
17,4,first
29,2,first
8,2,first
21,4,first
14,1,first
11,3,first
10,3,first
13,5,first
19,4,first
8,1,first
13,4,first
8,3,first
24,4,first
18,3,first
29,6,first
16,5,first
38,5,first
2,0,first
19,9,first
17,3,first
11,5,first
16,4,first
11,4,first
5,1,first
7,3,first
14,5,first
14,6,first
28,12,first
6,3,first
16,8,first
17,15,first
19,10,first
18,6,first
12,1,first
24,17,first
21,3,first
23,9,first
7,6,first
8,3,first
17,9,first
15,8,first
4,2,first
20,7,first
21,13,first
10,5,first
7,4,first
16,4,first
9,2,first
35,15,first
13,3,first
17,6,first
20,5,first
11,9,first
17,6,first
16,7,first
7,4,first
7,6,first
12,11,first
19,14,first
19,15,first
18,9,first
12,3,first
9,5,first
12,3,first
32,9,first
20,5,first
31,16,first
22,12,first
15,9,first
17,14,first
24,16,first
26,14,first
7,5,first
26,17,first
22,11,first
19,12,first
18,10,first
6,4,first
6,3,first
24,19,first
27,10,first
11,9,first
19,9,first
9,7,first
13,27,second
16,13,first
29,15,first
8,6,first
31,11,first
18,25,second
20,16,first
27,20,first
23,13,first
32,26,first
22,15,first
21,9,first
14,5,first
6,3,first
27,14,first
21,8,first
18,9,first
21,16,first
38,20,first
4,6,second
20,11,first
19,9,first
31,14,first
12,6,first
20,13,first
21,14,first
8,6,first
4,3,first
21,8,first
12,13,second
21,10,first
22,16,first
4,3,first
20,13,first
8,9,second
14,12,first
27,11,first
8,8,tie
42,20,first
46,2,first
11,0,first
10,5,first
20,15,first
9,9,tie
26,14,first
27,18,first
22,12,first
28,18,first
37,24,first
23,22,first
11,6,first
21,10,first
7,6,first
30,24,first
19,9,first
22,14,first
29,22,first
7,3,first
45,25,first
24,16,first
40,20,first
31,16,first
25,21,first
27,9,first
30,22,first
41,31,first
23,15,first
7,8,second
22,17,first
41,9,first
8,3,first
22,13,first
22,12,first
14,8,first
36,31,first
32,16,first
11,2,first
17,13,first
38,24,first
20,15,first
15,11,first
17,10,first
15,16,second
5,4,first
44,30,first
35,26,first
25,11,first
20,16,first
41,29,first
20,14,first
37,19,first
25,13,first
15,14,first
8,4,first
15,13,first
15,11,first
35,23,first
20,13,first
15,15,tie
23,21,first
9,5,first
19,14,first
26,24,first
14,13,first
16,5,first
5,4,first
9,5,first
41,18,first
7,4,first
19,15,first
30,23,first
18,10,first
22,14,first
27,21,first
21,16,first
20,10,first
27,37,second
37,33,first
16,22,second
12,11,first
9,8,first
33,19,first
